Author,Titles,Plot,Spice,Tropes & Themes,Kindle Unlimited,Notes
,Shadowfever (Fever #5),⭐⭐⭐⭐⭐,🌶️🌶️,,FALSE,
Monica Murphy,"Things I Wanted to Say, But Never Did (Lancaster Prep #1)",⭐⭐⭐,🌶️🌶️🌶️,DARK. BEWARE.,TRUE,
,A Million Kisses in Your Lifetime (Lancaster Prep #2),⭐⭐⭐,🌶️🌶️,,TRUE,
Lynn Painter,Better than the Movies,⭐⭐⭐⭐⭐,🌶️,Friends to Lovers,FALSE,
"Caroline Peckham, Susanne Valenti",Zodiac Academy: The Awakening,⭐⭐⭐,🌶️,Fantasy,TRUE,
,Zodiac Academy: Ruthless Fae,⭐⭐⭐,🌶️,,TRUE,
,Zodiac Academy: The Reckoning,⭐⭐⭐,🌶️,,TRUE,
,Zodiac Academy: Shadow Princess,⭐⭐⭐,🌶️,,TRUE,
,Zodiac Academy: Cursed Fates,⭐⭐⭐,🌶️,,TRUE,
,Zodiac Academy: Fated Throne,⭐⭐⭐,🌶️,,TRUE,
,Zodiac Academy: Heartless Sky,⭐⭐⭐,🌶️,,TRUE,
,Zodiac Academy: Sorrow and Starlight,⭐⭐,🌶️🌶️,,TRUE,
Mariel Pomeroy,Helfyre,⭐⭐⭐,🌶️,Fantasy,TRUE,
Meghan Quinn,The Perfect Catch (Brentwood Boys #8),⭐⭐⭐,🌶️,"Sports Romance, Grumpy Sunshine",TRUE,
Emily Rath,Pucking Around (Jacksonville Rays #1),⭐⭐⭐,🌶️🌶️🌶️🌶️,"Sports Romance, Reverse Harem",TRUE,
J. A. Redmerski,The Edge of Never (The Edge of Never #1),⭐⭐⭐,🌶️,,FALSE,
Katee Robert,Neon Gods (Dark Olympus #1),⭐⭐,🌶️🌶️,,FALSE,
,Court of the Vampire Queen,⭐⭐,🌶️🌶️🌶️,Reverse Harem,TRUE,
Helen Scheuerer,Blood & Steel (Legends of Thezmarr #1),⭐⭐⭐,🌶️,,TRUE,
L. J. Shen,Vicious (Sinners of Saint #1),⭐⭐⭐,🌶️🌶️🌶️,"Crime Family (not mafia though, those are bullshit)",TRUE,dark
,Ruckus (Sinners of Saint #2),⭐⭐⭐,🌶️🌶️🌶️,,TRUE,dark
,Scandalous (Sinners of Saint #3),⭐⭐⭐,🌶️🌶️🌶️,,TRUE,dark
,Bane (Sinners of Saint #4),⭐⭐⭐,🌶️🌶️🌶️,,TRUE,dark
,Pretty Reckless (All Saints High #1),⭐⭐⭐,🌶️🌶️🌶️,,TRUE,dark
,Broken Knight (All Saints High #2),⭐⭐⭐⭐,🌶️🌶️🌶️,,TRUE,dark
,Angry God (All Saints High #3),⭐⭐⭐,🌶️🌶️🌶️,,TRUE,dark
,Ruthless Rival (Cruel Castaways #1),⭐⭐⭐,🌶️🌶️,,TRUE,dark
,The Hunter (Boston Belles #1),⭐⭐⭐,🌶️🌶️,,TRUE,dark
Josie Silver,One Night on the Island,⭐⭐⭐⭐,🌶️,Classic Romance,FALSE,
Sierra Simone,Priest (Priest #1),⭐⭐⭐,🌶️🌶️,Taboo,FALSE,dark
Cherise Sinclair,Club Shadowlands (Masters of the Shadowlands #1),⭐⭐⭐,🌶️🌶️,BDSM,FALSE,"i think this author does a really respectful job of BDSM here, also masters of the shadowlands is way better than the salacious players' club"
,Dark Citadel (Masters of the Shadowlands #2),⭐⭐⭐⭐,🌶️🌶️🌶️,BDSM,FALSE,
,Breaking Free (Masters of the Shadowlands #3),⭐⭐⭐⭐,🌶️🌶️🌶️,BDSM,FALSE,
,Lean on Me (Masters of the Shadowlands #4),??,??,BDSM,FALSE,
,"Make Me, Sir (Masters of the Shadowlands #5)",⭐⭐⭐⭐,🌶️🌶️🌶️,BDSM,FALSE,
Somme Sketcher,Sinners Anonymous (Sinners Anonymous #1),⭐⭐⭐,🌶️🌶️🌶️,Mafia Romance,TRUE,dark
Scarlett St. Clair,A Touch of Darkness (Hades & Persephone #1),⭐⭐,🌶️🌶️,,FALSE,
Nikki St. Crowe,The Never King (Vicious Lost Boys #1),⭐⭐⭐,🌶️,Reverse Harem,TRUE,dark
,The Dark One (Vicious Lost Boys #2),⭐⭐⭐,🌶️🌶️🌶️,,TRUE,dark
,Their Vicious Darling (Vicious Lost Boys #3),⭐⭐⭐,🌶️🌶️🌶️,,TRUE,dark
,The Fae Princes (Vicious Lost Boys #4),??,??,,TRUE,dark
Kandi Steiner,Blind Side,⭐⭐⭐,🌶️🌶️,Sports Romance,TRUE,
,Quarterback Sneak,⭐⭐⭐,🌶️🌶️,Sports Romance,TRUE,
,Hail Mary,??,??,Sports Romance,TRUE,
S. C. Stephens,Thoughtless (Thoughtless #1),⭐⭐⭐⭐,🌶️🌶️,,FALSE,cheating involved
,Effortless (Thoughtless #2),??,??,,FALSE,
Kate Stewart,Drive (Bittersweet Symphony #1),⭐⭐⭐⭐,🌶️🌶️🌶️,Love Triangle,TRUE,
